patch_id,center_lat,center_lon,timestamp,dem_mean_elev,dem_max_slope,dem_mean_slope,dem_aspect,image_path,rain_6h,soil_moisture_mean_6h,vib_rms_6h,porepressure_mean_6h,displacement_6h,label_rockfall_within_24h
0,1669884.3989252108,645094.8349090966,2025-09-11T14:28:45.679787,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
1,1669884.3989252108,645185.7394705752,2025-09-11T14:28:45.686837,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
2,1669884.3989252108,645276.6440320539,2025-09-11T14:28:45.692847,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
3,1669884.3989252108,645367.5485935325,2025-09-11T14:28:45.701905,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
4,1669884.3989252108,645458.4531550113,2025-09-11T14:28:45.710938,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
5,1669884.3989252108,645549.3577164899,2025-09-11T14:28:45.719471,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
6,1669884.3989252108,645640.2622779686,2025-09-11T14:28:45.728601,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
7,1669884.3989252108,645731.1668394472,2025-09-11T14:28:45.735149,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
8,1669884.3989252108,645822.0714009259,2025-09-11T14:28:45.742797,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
9,1669884.3989252108,645912.9759624045,2025-09-11T14:28:45.753859,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
10,1669884.3989252108,646003.8805238833,2025-09-11T14:28:45.763916,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
11,1669884.3989252108,646094.7850853619,2025-09-11T14:28:45.771460,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
12,1669884.3989252108,646185.6896468406,2025-09-11T14:28:45.778990,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
13,1669884.3989252108,646276.5942083192,2025-09-11T14:28:45.786529,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
14,1669884.3989252108,646367.4987697979,2025-09-11T14:28:45.792554,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
15,1669884.3989252108,646458.4033312765,2025-09-11T14:28:45.803586,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
16,1669884.3989252108,646549.3078927551,2025-09-11T14:28:45.811649,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
17,1669884.3989252108,646640.2124542339,2025-09-11T14:28:45.818677,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
18,1669884.3989252108,646731.1170157125,2025-09-11T14:28:45.825268,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
19,1669884.3989252108,646822.0215771912,2025-09-11T14:28:45.830788,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
20,1669884.3989252108,646912.9261386698,2025-09-11T14:28:45.839959,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
21,1669884.3989252108,647003.8307001485,2025-09-11T14:28:45.852508,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
22,1669884.3989252108,647094.7352616271,2025-09-11T14:28:45.860549,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
23,1669884.3989252108,647185.6398231059,2025-09-11T14:28:45.867088,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
24,1669884.3989252108,647276.5443845845,2025-09-11T14:28:45.872614,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
25,1669884.3989252108,647367.4489460632,2025-09-11T14:28:45.876680,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
26,1669884.3989252108,647458.3535075418,2025-09-11T14:28:45.881687,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
27,1669884.3989252108,647549.2580690205,2025-09-11T14:28:45.885190,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
28,1669884.3989252108,647640.1626304991,2025-09-11T14:28:45.891267,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
