patch_id,timestamp,temperature,rainfall,soil_moisture,vib_rms,porepressure,displacement,label_rockfall_within_month
0,2020-01-01,34.81,9.78,0.226,0.356,27.31,0.0,0
0,2020-02-01,26.64,29.21,0.291,0.845,31.35,0.5,0
0,2020-03-01,32.54,5.36,0.201,0.236,36.92,0.0,0
0,2020-04-01,31.78,26.16,0.348,0.49,50.66,0.54,0
0,2020-05-01,27.45,20.9,0.392,0.194,49.67,0.0,0
0,2020-06-01,34.47,55.55,0.626,0.766,75.91,0.0,0
0,2020-07-01,31.96,59.97,0.587,1.049,75.07,0.0,0
0,2020-08-01,33.77,40.7,0.491,0.541,60.4,1.31,0
0,2020-09-01,32.89,48.4,0.419,0.668,58.66,1.67,0
0,2020-10-01,26.03,35.87,0.46,0.555,65.74,1.25,0
0,2020-11-01,30.8,16.96,0.295,0.37,35.59,2.62,0
0,2020-12-01,28.09,19.63,0.295,0.495,53.04,1.38,0
0,2021-01-01,26.52,6.48,0.231,0.329,31.35,1.71,0
0,2021-02-01,28.38,26.95,0.375,0.193,54.68,0.0,0
0,2021-03-01,26.0,27.58,0.336,0.546,51.6,0.0,0
0,2021-04-01,28.6,20.15,0.349,0.923,44.47,0.94,0
0,2021-05-01,33.93,29.98,0.373,0.52,51.05,1.38,0
0,2021-06-01,34.23,70.82,0.635,1.109,75.74,1.02,0
0,2021-07-01,28.35,74.61,0.699,1.15,87.63,4.37,0
0,2021-08-01,26.69,58.69,0.603,1.159,70.25,1.02,0
0,2021-09-01,28.43,77.33,0.735,1.594,91.64,3.05,0
0,2021-10-01,31.45,23.59,0.4,0.721,51.08,0.63,0
0,2021-11-01,34.94,31.89,0.45,0.814,68.86,4.11,0
0,2021-12-01,30.35,22.54,0.3,0.655,42.7,0.06,0
0,2022-01-01,33.91,19.82,0.291,0.615,40.82,0.0,0
0,2022-02-01,33.13,22.41,0.276,0.417,43.74,0.0,0
0,2022-03-01,25.32,13.53,0.2,0.0,39.37,1.65,0
0,2022-04-01,29.92,25.74,0.423,0.756,48.99,0.97,0
0,2022-05-01,30.95,6.59,0.2,0.38,32.96,0.0,0
0,2022-06-01,33.72,61.84,0.605,0.857,61.72,0.6,0
0,2022-07-01,26.26,73.52,0.654,1.181,75.47,0.0,0
0,2022-08-01,29.11,44.5,0.398,1.081,62.84,0.0,0
0,2022-09-01,26.92,50.03,0.469,0.989,62.54,1.65,0
0,2022-10-01,28.99,27.56,0.435,0.254,51.84,0.0,0
0,2022-11-01,25.41,28.57,0.385,0.211,52.17,0.0,0
0,2022-12-01,26.75,14.28,0.268,0.1,34.27,0.0,0
0,2023-01-01,28.02,14.35,0.211,0.518,34.26,0.0,0
0,2023-02-01,32.4,15.27,0.339,0.262,44.72,0.11,0
0,2023-03-01,34.47,10.29,0.264,0.456,39.55,1.52,0
0,2023-04-01,29.08,7.57,0.249,0.13,37.42,0.0,0
0,2023-05-01,31.85,16.48,0.283,0.443,40.47,0.0,0
0,2023-06-01,31.69,47.51,0.519,0.78,65.37,0.0,0
0,2023-07-01,27.32,46.66,0.461,0.576,57.91,2.56,0
0,2023-08-01,31.57,59.72,0.596,1.216,77.63,0.0,0
0,2023-09-01,31.56,49.23,0.481,0.939,64.86,0.0,0
0,2023-10-01,29.74,34.1,0.425,0.282,63.61,0.47,0
0,2023-11-01,27.15,38.95,0.362,0.309,46.9,2.73,0
0,2023-12-01,31.67,14.85,0.242,0.441,44.44,0.05,0
0,2024-01-01,27.95,9.19,0.231,0.788,28.29,1.32,0
0,2024-02-01,30.56,26.81,0.347,0.421,43.88,1.02,0
0,2024-03-01,29.22,25.6,0.314,0.363,52.07,0.0,0
0,2024-04-01,31.37,15.4,0.253,0.43,29.14,0.66,0
0,2024-05-01,29.99,14.09,0.239,0.293,28.52,0.73,0
0,2024-06-01,30.63,46.29,0.547,0.719,71.57,0.0,0
0,2024-07-01,26.01,66.28,0.579,1.28,70.82,0.0,0
0,2024-08-01,28.22,78.47,0.619,1.047,71.21,1.7,0
0,2024-09-01,34.85,52.0,0.508,0.123,67.04,1.65,0
0,2024-10-01,30.66,12.34,0.337,0.638,45.04,0.0,0
0,2024-11-01,26.39,21.66,0.302,0.663,39.18,1.83,0
0,2024-12-01,33.81,25.53,0.271,0.643,39.93,0.86,0
1,2020-01-01,29.07,6.02,0.2,0.097,38.45,1.17,0
1,2020-02-01,26.61,29.43,0.349,0.426,55.61,0.0,0
1,2020-03-01,27.74,6.67,0.2,0.252,29.86,0.41,0
1,2020-04-01,27.97,16.34,0.272,0.262,44.82,0.69,0
1,2020-05-01,32.82,21.92,0.42,0.528,57.44,2.74,0
1,2020-06-01,33.94,56.94,0.458,1.172,56.38,3.24,0
1,2020-07-01,26.5,53.74,0.58,0.58,68.04,0.0,0
